metric,arm,seed_index,value
prb_utilisation,E_full_umro,0,0.593512106918239
prb_utilisation,E_full_umro,1,0.5855744496855346
prb_utilisation,E_full_umro,2,0.5849196540880504
prb_utilisation,E_full_umro,3,0.5715054245283019
prb_utilisation,E_full_umro,4,0.569525393081761
prb_utilisation,E_full_umro,5,0.5863578616352201
prb_utilisation,E_full_umro,6,0.5844671383647799
prb_utilisation,E_full_umro,7,0.5716766509433963
prb_utilisation,E_full_umro,8,0.58739606918239
prb_utilisation,E_full_umro,9,0.5787757075471698
prb_utilisation,E_full_umro,10,0.5791928459119496
prb_utilisation,E_full_umro,11,0.6001360062893082
prb_utilisation,E_full_umro,12,0.5818921383647798
prb_utilisation,E_full_umro,13,0.6012705188679245
prb_utilisation,E_full_umro,14,0.5884367924528302
prb_utilisation,E_full_umro,15,0.5801534591194969
prb_utilisation,E_full_umro,16,0.5734863993710692
prb_utilisation,E_full_umro,17,0.5891010220125786
prb_utilisation,E_full_umro,18,0.5805717767295597
prb_utilisation,E_full_umro,19,0.5760485062893081
prb_utilisation,E_full_umro,20,0.5796577044025157
prb_utilisation,E_full_umro,21,0.5876785377358491
prb_utilisation,E_full_umro,22,0.5837086477987421
prb_utilisation,E_full_umro,23,0.58191643081761
prb_utilisation,E_full_umro,24,0.5798436320754717
prb_utilisation,E_full_umro,25,0.5820044811320755
prb_utilisation,E_full_umro,26,0.5928271226415094
prb_utilisation,E_full_umro,27,0.5817924528301887
prb_utilisation,E_full_umro,28,0.5851034591194969
prb_utilisation,E_full_umro,29,0.5838997641509434
urllc_violation_prob,A_hard_static,0,2.5e-05
urllc_violation_prob,A_hard_static,1,0.0
urllc_violation_prob,A_hard_static,2,8.333333333333334e-06
urllc_violation_prob,A_hard_static,3,3.3333333333333335e-05
urllc_violation_prob,A_hard_static,4,0.0
urllc_violation_prob,A_hard_static,5,0.0
urllc_violation_prob,A_hard_static,6,0.0
urllc_violation_prob,A_hard_static,7,0.0
urllc_violation_prob,A_hard_static,8,1.6666666666666667e-05
urllc_violation_prob,A_hard_static,9,0.0
urllc_violation_prob,A_hard_static,10,0.0
urllc_violation_prob,A_hard_static,11,6.666666666666667e-05
urllc_violation_prob,A_hard_static,12,0.0
